AD_ax (m/s^2),AD_ay (m/s^2),AD_az (m/s^2)
6.873288851850677854e-04,6.551876426096306556e-04,1.070414386604646301e-03
6.947834566042956385e-04,6.581792620395987342e-04,1.048148613918369965e-03
6.879745810731473319e-04,6.583798402528799219e-04,1.042465364941445351e-03
6.790277126900485941e-04,6.402660353878480461e-04,1.044122556799179221e-03
6.617651405691326455e-04,6.457751103276714944e-04,1.034240223745598293e-03
6.711208327787904649e-04,6.335296952261593824e-04,1.016858843735553471e-03
6.529219584213439079e-04,6.314010614248446703e-04,1.008615807322073591e-03
6.685509671659788837e-04,6.225160636450544375e-04,9.677315503813310000e-04
6.466021283627497104e-04,6.316926643748188271e-04,1.014933681251628441e-03
6.352011812785008423e-04,6.075910228635050250e-04,9.878764052484759976e-04
6.585655343029468917e-04,6.116452476708564420e-04,9.819937569374068663e-04
6.559347779936634685e-04,6.055819705714192425e-04,9.605404189635104390e-04
6.419069083971963617e-04,6.070026319357410809e-04,9.869880791673632612e-04
6.375431853650412057e-04,6.072148048391419646e-04,9.602466529765535733e-04
6.231686313099843314e-04,5.912180329552149628e-04,9.592363751659589840e-04
6.142838500525597822e-04,5.947881366902967341e-04,9.392189575895362220e-04
6.194712446010901610e-04,5.914534961146070005e-04,9.416602001466013120e-04
6.082651962243238765e-04,5.664486159961311601e-04,9.281760135780590991e-04
6.258718095493667364e-04,5.870574333332916539e-04,9.260217379447088825e-04
6.111525827603084401e-04,5.633328868636755353e-04,9.435672320157097864e-04
6.019838276078990410e-04,5.721378712992944470e-04,9.089416999016283229e-04
5.965360283610853399e-04,5.671411728552209781e-04,9.069019414108344833e-04
6.010940474761629088e-04,5.721884707373968209e-04,9.177500587453758059e-04
5.989861108872557858e-04,5.662938228573574954e-04,9.154601172626594284e-04
6.101247712475853019e-04,5.417328432439318846e-04,8.993915530876916758e-04
5.847831387317946761e-04,5.499670919986072472e-04,8.677294353506801198e-04
5.976632438772243100e-04,5.424750308143781209e-04,9.095156982189856213e-04
5.788135888473991885e-04,5.447240326568334118e-04,9.086818359099159892e-04
5.862661861022587127e-04,5.399117957038487457e-04,8.998334434201677194e-04
5.702448751068467121e-04,5.368819905020447624e-04,8.621462254289728473e-04
5.731754231166816520e-04,5.360025591648621404e-04,8.841388080063550996e-04
5.839810270827450276e-04,5.324294748731575686e-04,8.592609245185331640e-04
5.670993014628444330e-04,5.199642427949265630e-04,8.674079399782305038e-04
5.672870151640111921e-04,5.265633990400777481e-04,8.742538111336687701e-04
5.607784687996361043e-04,5.155223348549161765e-04,8.331311380054188089e-04
5.526541117310735827e-04,5.204253294027554304e-04,8.504109690292398910e-04
5.683197392598499141e-04,5.182103650349406026e-04,8.460041611926764210e-04
5.703565302892766274e-04,5.101119473542708180e-04,8.300181821834950362e-04
5.474991615827481690e-04,5.070764657299602074e-04,8.486597786101047558e-04
5.503727231010138894e-04,5.063928859815958541e-04,8.257159944757399075e-04
5.513268063899669398e-04,5.035143082298583483e-04,8.483663755944476081e-04
5.518847595089947490e-04,5.001231012873657514e-04,8.163435170926511145e-04
5.398723025081857618e-04,4.912889084081003589e-04,8.272117738566731916e-04
5.486804440737358575e-04,4.741624909854928000e-04,8.372609720931926611e-04
5.256914990551821674e-04,4.965325012502645437e-04,8.139446276722872315e-04
5.444306943426068923e-04,4.991049668338017097e-04,7.993391391006215768e-04
5.437079983871911069e-04,4.850489138687001916e-04,8.200872814272975328e-04
5.262894824007527958e-04,4.716806404679173997e-04,8.086967178978121847e-04
5.303043578436163891e-04,4.790964923207853034e-04,7.896970246234984560e-04
5.307356094029619647e-04,4.802705915136478852e-04,7.802923450805540053e-04
5.218115621730515545e-04,4.731319264325868483e-04,7.798696316990130686e-04
5.300257955090444291e-04,4.834277822576561441e-04,7.823899472187381037e-04
5.095313030232686115e-04,4.837949969932862785e-04,7.735373579368044674e-04
5.224173023678685456e-04,4.815898544502098997e-04,7.771010001213507230e-04
5.107741032396075900e-04,4.776176403933917488e-04,7.773791583499965524e-04
5.088552114714322769e-04,4.641985285279609562e-04,7.694971031943047268e-04
5.246260691755228822e-04,4.762862938336208190e-04,7.881633415327857044e-04
5.118419407034727675e-04,4.586365006490515715e-04,7.712433577944861115e-04
5.244032817542620658e-04,4.506367307234942186e-04,7.671643820208206600e-04
5.151527741900174904e-04,4.649037203229539712e-04,7.475364110273557397e-04
4.996893996450437218e-04,4.390014578129780186e-04,7.528443947360345667e-04
5.120380269730125068e-04,4.485200119700987354e-04,7.348562674137573561e-04
